Text Content,Image Content,Video Content,"User Metadata (Age, Gender, Location)","Engagement Metrics (Likes, Shares, Comments)",Timestamp,"Interaction Network (Friends, Followers)",Sentiment Score,Text Length,"Image Features (Object, Color)","Video Features (Action, Duration)",Content Type,Interaction Type (Language),Reported Flag,Reporting Frequency
I hate you so much!,Insulting meme,Harassment video,"15, Female, XYZ city","134, 91, 18",2023-11-04 09:01:40.292766,"363, 830",-0.74,87,"Gun, Black","Kicking, 13 seconds",Comment,French,Yes,2
You are so dumb!,Cyberbullying cartoon,Intimidation video,"17, Male, XYZ city","96, 34, 49",2024-05-02 09:01:40.292775,"281, 1392",-0.9,86,"Gun, Red","Threatening, 11 seconds",Comment,German,Yes,5
You are a loser!,Offensive gesture,Verbal abuse video,"13, Male, XYZ city","91, 79, 29",2024-01-17 09:01:40.292780,"355, 1187",-0.95,80,"Knife, Dark Blue","Punching, 13 seconds",Post,French,Yes,4
I hate you so much!,Cyberbullying cartoon,Intimidation video,"16, Female, XYZ city","61, 21, 16",2024-02-21 09:01:40.292784,"126, 1799",-0.79,24,"Knife, Red","Verbal Abuse, 4 seconds",Comment,Spanish,Yes,7
Why don't you go away?,Violent image,Intimidation video,"17, Female, XYZ city","129, 22, 12",2024-03-01 09:01:40.292789,"239, 798",-0.92,80,"Gun, Red","Verbal Abuse, 6 seconds",Post,German,Yes,5
You are so dumb!,Insulting meme,Intimidation video,"15, Male, XYZ city","76, 59, 47",2024-04-27 09:01:40.292793,"386, 1614",-0.89,111,"Knife, Black","Verbal Abuse, 3 seconds",Comment,German,No,8
Why don't you go away?,Offensive gesture,Intimidation video,"15, Non-binary, XYZ city","178, 27, 46",2023-07-24 09:01:40.292797,"160, 957",-0.84,178,"Knife, Black","Punching, 9 seconds",Message,Spanish,No,4
Why don't you go away?,Insulting meme,Intimidation video,"16, Male, XYZ city","173, 67, 46",2023-09-15 09:01:40.292802,"464, 1358",-0.87,31,"Knife, Red","Kicking, 7 seconds",Comment,German,Yes,6
I hate you so much!,Offensive gesture,Harassment video,"13, Non-binary, XYZ city","53, 89, 28",2023-11-30 09:01:40.292807,"262, 850",-0.96,161,"Pointing Finger, Dark Blue","Kicking, 13 seconds",Comment,French,Yes,4
You are so dumb!,Cyberbullying cartoon,Intimidation video,"13, Female, XYZ city","81, 28, 21",2023-09-06 09:01:40.292811,"242, 1923",-0.96,122,"Middle Finger, Red","Verbal Abuse, 3 seconds",Post,English,Yes,2
You are a loser!,Offensive gesture,Intimidation video,"16, Female, XYZ city","188, 65, 25",2023-09-03 09:01:40.292816,"352, 1280",-0.9,181,"Gun, Dark Blue","Verbal Abuse, 6 seconds",Comment,English,Yes,1
You are a loser!,Violent image,Verbal abuse video,"13, Non-binary, XYZ city","178, 82, 30",2024-05-03 09:01:40.292821,"468, 1302",-0.97,10,"Gun, Dark Blue","Threatening, 6 seconds",Post,Spanish,Yes,1
I hate you so much!,Violent image,Bullying act,"13, Male, XYZ city","62, 53, 13",2023-12-06 09:01:40.292825,"286, 1416",-0.69,19,"Pointing Finger, Red","Kicking, 11 seconds",Message,French,No,8
I hate you so much!,Offensive gesture,Harassment video,"15, Non-binary, XYZ city","151, 78, 36",2023-12-31 09:01:40.292830,"403, 1000",-0.86,119,"Pointing Finger, Green","Punching, 14 seconds",Post,German,No,4
You are so dumb!,Offensive gesture,Harassment video,"14, Non-binary, XYZ city","118, 44, 12",2024-05-19 09:01:40.292834,"390, 1097",-0.86,193,"Pointing Finger, Black","Threatening, 10 seconds",Post,German,No,5
You are a loser!,Offensive gesture,Harassment video,"15, Male, XYZ city","146, 87, 34",2024-05-19 09:01:40.292842,"265, 1938",-0.83,122,"Knife, Red","Punching, 11 seconds",Comment,English,Yes,8
You are a loser!,Offensive gesture,Intimidation video,"14, Female, XYZ city","197, 53, 35",2024-06-08 09:01:40.292850,"213, 1956",-0.67,59,"Middle Finger, Black","Threatening, 5 seconds",Message,German,Yes,7
You are a loser!,Violent image,Intimidation video,"17, Male, XYZ city","175, 24, 44",2023-07-25 09:01:40.292858,"455, 706",-0.56,21,"Middle Finger, Dark Blue","Threatening, 7 seconds",Post,English,No,8
Why don't you go away?,Insulting meme,Intimidation video,"16, Male, XYZ city","58, 69, 15",2023-08-27 09:01:40.292867,"355, 1758",-0.62,98,"Knife, Black","Kicking, 12 seconds",Comment,Spanish,No,8
You are a loser!,Offensive gesture,Verbal abuse video,"17, Male, XYZ city","109, 63, 20",2023-12-14 09:01:40.292875,"454, 1014",-0.64,197,"Pointing Finger, Black","Punching, 5 seconds",Comment,German,Yes,6
Why don't you go away?,Offensive gesture,Bullying act,"14, Male, XYZ city","157, 92, 30",2023-10-08 09:01:40.292880,"307, 1208",-0.76,163,"Gun, Green","Threatening, 4 seconds",Post,French,No,2
You are so dumb!,Violent image,Intimidation video,"17, Non-binary, XYZ city","180, 95, 37",2024-02-17 09:01:40.292887,"440, 1648",-0.65,121,"Knife, Dark Blue","Punching, 10 seconds",Comment,German,No,6
Why don't you go away?,Violent image,Bullying act,"14, Non-binary, XYZ city","79, 40, 37",2023-09-07 09:01:40.292894,"237, 838",-0.72,87,"Gun, Green","Verbal Abuse, 5 seconds",Post,English,Yes,1
You are so dumb!,Cyberbullying cartoon,Verbal abuse video,"14, Non-binary, XYZ city","83, 60, 27",2023-06-13 09:01:40.292903,"124, 567",-0.89,178,"Pointing Finger, Black","Verbal Abuse, 3 seconds",Post,Spanish,No,1
You are a loser!,Offensive gesture,Harassment video,"17, Male, XYZ city","107, 94, 32",2024-04-04 09:01:40.292911,"160, 882",-0.9,173,"Pointing Finger, Black","Punching, 14 seconds",Post,English,No,3
You are a loser!,Cyberbullying cartoon,Intimidation video,"13, Female, XYZ city","177, 41, 26",2023-06-27 09:01:40.292919,"118, 1182",-0.85,130,"Gun, Green","Punching, 14 seconds",Message,German,No,3
You are so dumb!,Violent image,Bullying act,"15, Male, XYZ city","118, 30, 39",2023-10-02 09:01:40.292927,"173, 1072",-0.54,32,"Gun, Red","Threatening, 14 seconds",Post,English,Yes,5
I hate you so much!,Violent image,Bullying act,"15, Non-binary, XYZ city","64, 54, 42",2023-12-14 09:01:40.292936,"252, 1799",-0.73,180,"Knife, Red","Punching, 5 seconds",Comment,English,No,1
You are so dumb!,Insulting meme,Intimidation video,"13, Male, XYZ city","174, 35, 43",2023-07-30 09:01:40.292943,"147, 710",-0.63,143,"Pointing Finger, Green","Kicking, 13 seconds",Message,Spanish,No,6
I hate you so much!,Offensive gesture,Harassment video,"15, Male, XYZ city","115, 59, 37",2023-12-26 09:01:40.292947,"442, 1150",-0.83,180,"Gun, Dark Blue","Verbal Abuse, 14 seconds",Comment,French,No,7
Why don't you go away?,Cyberbullying cartoon,Harassment video,"13, Male, XYZ city","96, 58, 15",2023-08-04 09:01:40.292952,"209, 1493",-0.8,34,"Knife, Dark Blue","Threatening, 3 seconds",Message,German,Yes,3
Why don't you go away?,Violent image,Harassment video,"14, Non-binary, XYZ city","197, 20, 17",2023-10-07 09:01:40.292956,"282, 1039",-0.94,27,"Knife, Green","Punching, 3 seconds",Message,Spanish,Yes,4
Why don't you go away?,Violent image,Verbal abuse video,"15, Female, XYZ city","136, 82, 12",2023-12-07 09:01:40.292961,"296, 1714",-0.91,199,"Middle Finger, Red","Punching, 3 seconds",Message,French,No,3
You are a loser!,Cyberbullying cartoon,Bullying act,"16, Non-binary, XYZ city","53, 77, 34",2024-04-19 09:01:40.292965,"414, 1400",-0.59,150,"Gun, Green","Kicking, 13 seconds",Message,English,Yes,1
Why don't you go away?,Insulting meme,Bullying act,"17, Non-binary, XYZ city","96, 57, 24",2023-07-22 09:01:40.292970,"150, 1279",-0.71,52,"Middle Finger, Green","Verbal Abuse, 9 seconds",Comment,French,No,8
I hate you so much!,Violent image,Bullying act,"17, Female, XYZ city","70, 76, 23",2023-06-21 09:01:40.292974,"149, 1636",-0.83,87,"Gun, Red","Threatening, 8 seconds",Post,English,Yes,2
Why don't you go away?,Offensive gesture,Verbal abuse video,"13, Non-binary, XYZ city","194, 58, 18",2023-08-04 09:01:40.292979,"269, 1991",-0.6,37,"Knife, Black","Kicking, 13 seconds",Comment,English,Yes,1
You are so dumb!,Violent image,Bullying act,"14, Female, XYZ city","148, 96, 24",2024-01-26 09:01:40.292983,"265, 1537",-0.88,155,"Middle Finger, Green","Threatening, 4 seconds",Post,Spanish,No,8
You are so dumb!,Offensive gesture,Verbal abuse video,"15, Male, XYZ city","164, 25, 36",2023-12-27 09:01:40.292988,"302, 787",-0.51,68,"Knife, Black","Verbal Abuse, 9 seconds",Comment,English,No,7
You are a loser!,Cyberbullying cartoon,Harassment video,"14, Female, XYZ city","140, 65, 47",2024-03-01 09:01:40.292992,"494, 688",-0.83,197,"Middle Finger, Dark Blue","Punching, 4 seconds",Message,Spanish,No,7
You are so dumb!,Offensive gesture,Intimidation video,"17, Male, XYZ city","191, 91, 44",2024-03-19 09:01:40.292997,"254, 1193",-0.83,72,"Middle Finger, Green","Threatening, 10 seconds",Message,French,Yes,4
I hate you so much!,Cyberbullying cartoon,Bullying act,"16, Non-binary, XYZ city","196, 49, 23",2023-07-31 09:01:40.293001,"309, 1387",-0.84,194,"Knife, Black","Kicking, 4 seconds",Post,French,No,9
Why don't you go away?,Offensive gesture,Bullying act,"14, Male, XYZ city","133, 44, 49",2023-11-13 09:01:40.293005,"174, 776",-0.94,101,"Pointing Finger, Red","Verbal Abuse, 6 seconds",Post,English,Yes,6
You are a loser!,Cyberbullying cartoon,Harassment video,"15, Male, XYZ city","137, 33, 35",2024-06-09 09:01:40.293010,"232, 1866",-0.94,188,"Middle Finger, Dark Blue","Kicking, 14 seconds",Comment,Spanish,Yes,2
Why don't you go away?,Offensive gesture,Intimidation video,"13, Male, XYZ city","151, 41, 28",2023-12-16 09:01:40.293014,"158, 1356",-0.68,65,"Middle Finger, Red","Kicking, 13 seconds",Post,English,No,1
Why don't you go away?,Insulting meme,Verbal abuse video,"14, Male, XYZ city","159, 70, 12",2023-07-06 09:01:40.293019,"281, 957",-0.56,164,"Knife, Red","Verbal Abuse, 11 seconds",Comment,Spanish,Yes,1
I hate you so much!,Offensive gesture,Intimidation video,"15, Female, XYZ city","68, 92, 37",2023-08-14 09:01:40.293024,"438, 1332",-0.6,169,"Gun, Black","Verbal Abuse, 11 seconds",Post,Spanish,No,9
You are so dumb!,Offensive gesture,Harassment video,"15, Female, XYZ city","120, 97, 18",2023-07-16 09:01:40.293028,"163, 1338",-0.93,120,"Gun, Red","Kicking, 10 seconds",Post,Spanish,Yes,4
You are so dumb!,Insulting meme,Harassment video,"14, Male, XYZ city","173, 38, 23",2024-05-05 09:01:40.293033,"359, 692",-0.73,146,"Pointing Finger, Black","Verbal Abuse, 5 seconds",Post,French,No,5
Why don't you go away?,Violent image,Intimidation video,"14, Non-binary, XYZ city","169, 57, 45",2023-10-17 09:01:40.293038,"242, 1115",-0.95,77,"Gun, Black","Verbal Abuse, 4 seconds",Message,Spanish,Yes,3
You are a loser!,Violent image,Verbal abuse video,"16, Non-binary, XYZ city","79, 28, 42",2023-12-26 09:01:40.293043,"313, 1442",-0.98,55,"Pointing Finger, Green","Punching, 14 seconds",Message,French,Yes,4
You are so dumb!,Offensive gesture,Verbal abuse video,"17, Male, XYZ city","169, 71, 34",2023-07-05 09:01:40.293047,"308, 592",-0.67,76,"Knife, Green","Kicking, 6 seconds",Comment,Spanish,No,8
You are a loser!,Insulting meme,Bullying act,"16, Female, XYZ city","191, 94, 44",2023-08-03 09:01:40.293052,"241, 1957",-0.73,163,"Middle Finger, Black","Verbal Abuse, 6 seconds",Post,French,Yes,4
You are so dumb!,Offensive gesture,Verbal abuse video,"16, Non-binary, XYZ city","127, 60, 13",2023-08-11 09:01:40.293058,"211, 874",-0.96,145,"Middle Finger, Black","Threatening, 11 seconds",Comment,German,No,9
You are a loser!,Cyberbullying cartoon,Intimidation video,"13, Female, XYZ city","117, 27, 11",2024-05-13 09:01:40.293066,"158, 1566",-0.98,15,"Knife, Green","Threatening, 14 seconds",Post,French,Yes,9
I hate you so much!,Cyberbullying cartoon,Harassment video,"13, Female, XYZ city","154, 60, 25",2023-12-05 09:01:40.293074,"306, 1279",-0.51,33,"Knife, Red","Kicking, 13 seconds",Message,French,Yes,6
You are a loser!,Offensive gesture,Bullying act,"13, Female, XYZ city","111, 67, 39",2023-06-21 09:01:40.293082,"395, 1641",-0.98,185,"Knife, Black","Kicking, 8 seconds",Message,English,Yes,2
I hate you so much!,Violent image,Bullying act,"14, Non-binary, XYZ city","61, 54, 20",2024-05-18 09:01:40.293091,"119, 1745",-0.78,103,"Middle Finger, Black","Verbal Abuse, 9 seconds",Post,Spanish,No,7
I hate you so much!,Violent image,Harassment video,"14, Female, XYZ city","113, 69, 30",2024-02-21 09:01:40.293099,"265, 1142",-0.75,182,"Gun, Dark Blue","Threatening, 6 seconds",Post,German,No,9
You are a loser!,Offensive gesture,Verbal abuse video,"17, Non-binary, XYZ city","198, 88, 29",2023-11-19 09:01:40.293107,"255, 1707",-0.94,22,"Middle Finger, Green","Punching, 8 seconds",Message,English,No,6
I hate you so much!,Offensive gesture,Harassment video,"15, Male, XYZ city","150, 86, 42",2023-12-10 09:01:40.293115,"189, 1617",-0.92,34,"Middle Finger, Black","Verbal Abuse, 6 seconds",Message,Spanish,No,3
Why don't you go away?,Cyberbullying cartoon,Verbal abuse video,"16, Non-binary, XYZ city","186, 87, 44",2024-04-26 09:01:40.293119,"112, 1472",-0.82,157,"Knife, Red","Verbal Abuse, 10 seconds",Comment,German,No,7
I hate you so much!,Violent image,Harassment video,"17, Non-binary, XYZ city","114, 27, 32",2023-10-28 09:01:40.293124,"421, 1304",-0.62,127,"Knife, Green","Punching, 3 seconds",Message,German,Yes,5
You are so dumb!,Offensive gesture,Intimidation video,"13, Female, XYZ city","125, 73, 21",2024-05-04 09:01:40.293128,"329, 1961",-0.75,91,"Pointing Finger, Dark Blue","Verbal Abuse, 11 seconds",Post,German,Yes,1
You are a loser!,Cyberbullying cartoon,Verbal abuse video,"15, Non-binary, XYZ city","96, 34, 28",2024-05-27 09:01:40.293133,"125, 1375",-0.68,120,"Gun, Black","Verbal Abuse, 14 seconds",Comment,Spanish,No,3
Why don't you go away?,Violent image,Intimidation video,"14, Non-binary, XYZ city","75, 71, 38",2024-05-21 09:01:40.293137,"398, 1673",-0.51,91,"Gun, Black","Kicking, 7 seconds",Post,German,Yes,5
You are a loser!,Insulting meme,Bullying act,"14, Female, XYZ city","199, 40, 47",2023-11-12 09:01:40.293142,"247, 1531",-0.62,75,"Gun, Green","Threatening, 4 seconds",Comment,German,Yes,7
You are so dumb!,Cyberbullying cartoon,Harassment video,"14, Male, XYZ city","69, 48, 13",2023-08-07 09:01:40.293146,"128, 795",-0.78,54,"Gun, Dark Blue","Kicking, 8 seconds",Post,English,Yes,3
You are so dumb!,Violent image,Bullying act,"16, Male, XYZ city","104, 90, 37",2024-01-15 09:01:40.293151,"308, 1139",-0.78,123,"Knife, Green","Threatening, 14 seconds",Message,French,Yes,6
You are so dumb!,Violent image,Bullying act,"15, Male, XYZ city","77, 23, 31",2023-10-15 09:01:40.293155,"439, 1127",-0.69,184,"Pointing Finger, Red","Verbal Abuse, 4 seconds",Post,Spanish,No,5
I hate you so much!,Cyberbullying cartoon,Bullying act,"13, Non-binary, XYZ city","125, 64, 12",2023-09-14 09:01:40.293159,"243, 1441",-0.67,72,"Knife, Green","Kicking, 12 seconds",Comment,French,Yes,1
I hate you so much!,Insulting meme,Bullying act,"17, Male, XYZ city","135, 85, 33",2024-04-14 09:01:40.293164,"417, 1018",-0.75,85,"Middle Finger, Black","Verbal Abuse, 14 seconds",Post,English,No,6
You are a loser!,Cyberbullying cartoon,Harassment video,"15, Female, XYZ city","140, 74, 10",2023-08-30 09:01:40.293168,"144, 1454",-0.68,123,"Middle Finger, Green","Kicking, 3 seconds",Comment,French,No,8
You are a loser!,Violent image,Bullying act,"16, Female, XYZ city","121, 57, 15",2023-11-23 09:01:40.293173,"338, 1451",-0.99,120,"Middle Finger, Dark Blue","Threatening, 9 seconds",Post,German,Yes,1
Why don't you go away?,Offensive gesture,Harassment video,"15, Non-binary, XYZ city","194, 80, 21",2024-05-11 09:01:40.293177,"254, 1704",-0.79,192,"Pointing Finger, Dark Blue","Kicking, 11 seconds",Message,German,No,2
Why don't you go away?,Offensive gesture,Harassment video,"15, Male, XYZ city","55, 46, 17",2024-01-02 09:01:40.293181,"314, 587",-0.86,156,"Pointing Finger, Red","Verbal Abuse, 5 seconds",Message,Spanish,Yes,4
You are a loser!,Cyberbullying cartoon,Intimidation video,"16, Male, XYZ city","173, 84, 38",2023-10-01 09:01:40.293186,"355, 1596",-0.94,44,"Pointing Finger, Black","Threatening, 13 seconds",Post,Spanish,Yes,2
I hate you so much!,Violent image,Verbal abuse video,"17, Non-binary, XYZ city","158, 59, 23",2023-10-02 09:01:40.293190,"278, 711",-0.95,62,"Gun, Black","Verbal Abuse, 9 seconds",Post,Spanish,Yes,9
You are so dumb!,Offensive gesture,Verbal abuse video,"17, Non-binary, XYZ city","84, 67, 29",2024-06-03 09:01:40.293194,"392, 1757",-0.7,35,"Pointing Finger, Red","Verbal Abuse, 4 seconds",Post,English,No,8
You are a loser!,Violent image,Harassment video,"16, Female, XYZ city","105, 68, 22",2024-01-25 09:01:40.293199,"338, 1746",-0.74,23,"Pointing Finger, Green","Kicking, 4 seconds",Comment,Spanish,No,8
Why don't you go away?,Cyberbullying cartoon,Intimidation video,"15, Male, XYZ city","98, 65, 17",2024-06-02 09:01:40.293203,"218, 1324",-0.87,127,"Middle Finger, Green","Kicking, 12 seconds",Post,English,No,4
I hate you so much!,Offensive gesture,Harassment video,"17, Non-binary, XYZ city","92, 39, 42",2023-11-11 09:01:40.293208,"363, 1730",-0.76,54,"Gun, Green","Verbal Abuse, 4 seconds",Post,German,Yes,5
You are a loser!,Violent image,Harassment video,"15, Male, XYZ city","139, 58, 30",2023-09-13 09:01:40.293212,"194, 1384",-0.75,181,"Middle Finger, Dark Blue","Threatening, 8 seconds",Comment,French,Yes,4
You are a loser!,Offensive gesture,Harassment video,"14, Female, XYZ city","111, 73, 18",2023-07-24 09:01:40.293216,"321, 865",-0.9,60,"Gun, Black","Kicking, 7 seconds",Message,German,Yes,9
I hate you so much!,Cyberbullying cartoon,Intimidation video,"14, Male, XYZ city","137, 56, 26",2024-04-25 09:01:40.293221,"375, 879",-0.67,180,"Knife, Black","Kicking, 5 seconds",Post,German,No,2
You are a loser!,Violent image,Verbal abuse video,"15, Male, XYZ city","137, 40, 48",2024-02-22 09:01:40.293225,"330, 1832",-0.61,128,"Knife, Black","Verbal Abuse, 8 seconds",Post,German,Yes,8
I hate you so much!,Offensive gesture,Intimidation video,"13, Female, XYZ city","90, 58, 22",2024-01-11 09:01:40.293230,"218, 1791",-0.6,160,"Pointing Finger, Green","Kicking, 12 seconds",Message,Spanish,Yes,2
You are so dumb!,Cyberbullying cartoon,Bullying act,"16, Non-binary, XYZ city","60, 38, 20",2024-02-10 09:01:40.293234,"372, 1587",-0.7,193,"Pointing Finger, Black","Verbal Abuse, 5 seconds",Message,Spanish,No,1
I hate you so much!,Offensive gesture,Intimidation video,"16, Female, XYZ city","126, 65, 10",2023-06-21 09:01:40.293239,"397, 1873",-0.74,28,"Gun, Red","Punching, 14 seconds",Comment,Spanish,No,3
I hate you so much!,Offensive gesture,Intimidation video,"13, Male, XYZ city","157, 38, 21",2024-03-02 09:01:40.293243,"110, 1621",-0.97,91,"Middle Finger, Green","Punching, 3 seconds",Post,French,No,9
I hate you so much!,Insulting meme,Intimidation video,"17, Male, XYZ city","121, 91, 21",2023-10-15 09:01:40.293247,"170, 863",-0.86,85,"Knife, Red","Verbal Abuse, 10 seconds",Post,Spanish,Yes,3
You are a loser!,Insulting meme,Intimidation video,"15, Female, XYZ city","94, 88, 17",2023-07-27 09:01:40.293252,"157, 1262",-0.95,192,"Pointing Finger, Black","Kicking, 6 seconds",Comment,English,Yes,9
You are a loser!,Cyberbullying cartoon,Verbal abuse video,"14, Non-binary, XYZ city","140, 65, 32",2023-12-04 09:01:40.293256,"375, 549",-0.52,101,"Knife, Green","Kicking, 9 seconds",Message,German,Yes,7
I hate you so much!,Insulting meme,Bullying act,"15, Male, XYZ city","133, 37, 11",2023-11-08 09:01:40.293261,"457, 1227",-0.93,197,"Knife, Red","Threatening, 3 seconds",Comment,French,No,1
You are a loser!,Cyberbullying cartoon,Verbal abuse video,"16, Male, XYZ city","117, 52, 45",2024-04-22 09:01:40.293265,"493, 1427",-0.92,196,"Pointing Finger, Dark Blue","Threatening, 8 seconds",Message,French,No,5
Why don't you go away?,Insulting meme,Verbal abuse video,"16, Female, XYZ city","131, 38, 37",2023-08-25 09:01:40.293270,"151, 1282",-0.56,42,"Gun, Dark Blue","Verbal Abuse, 7 seconds",Comment,French,No,9
Why don't you go away?,Offensive gesture,Intimidation video,"15, Female, XYZ city","133, 95, 24",2024-03-23 09:01:40.293274,"183, 1083",-0.53,156,"Knife, Red","Threatening, 12 seconds",Message,French,No,3
You are a loser!,Cyberbullying cartoon,Harassment video,"13, Female, XYZ city","90, 58, 11",2024-03-16 09:01:40.293280,"395, 735",-0.62,37,"Pointing Finger, Red","Punching, 13 seconds",Comment,French,Yes,9
You are a loser!,Cyberbullying cartoon,Harassment video,"13, Female, XYZ city","78, 93, 11",2023-12-01 09:01:40.293284,"155, 859",-1.0,132,"Knife, Green","Punching, 5 seconds",Message,English,Yes,5
I hate you so much!,Offensive gesture,Verbal abuse video,"16, Male, XYZ city","100, 94, 22",2024-02-29 09:01:40.293289,"494, 609",-1.0,189,"Pointing Finger, Red","Punching, 10 seconds",Message,German,Yes,9
You are so dumb!,Cyberbullying cartoon,Verbal abuse video,"13, Non-binary, XYZ city","59, 33, 27",2023-09-15 09:01:40.293293,"291, 1403",-0.81,135,"Pointing Finger, Green","Kicking, 6 seconds",Message,French,Yes,6
You are a loser!,Cyberbullying cartoon,Intimidation video,"17, Male, XYZ city","100, 92, 48",2024-03-08 09:01:40.293298,"192, 1361",-0.93,186,"Pointing Finger, Red","Threatening, 13 seconds",Message,German,Yes,9
Why don't you go away?,Insulting meme,Verbal abuse video,"14, Non-binary, XYZ city","77, 22, 29",2023-11-27 09:01:40.293302,"155, 1583",-0.99,46,"Pointing Finger, Red","Verbal Abuse, 5 seconds",Message,Spanish,Yes,7
I hate you so much!,Cyberbullying cartoon,Intimidation video,"17, Male, XYZ city","166, 21, 38",2024-06-11 09:01:40.293307,"237, 538",-0.77,163,"Knife, Red","Threatening, 11 seconds",Post,French,Yes,7
You are a loser!,Violent image,Harassment video,"17, Female, XYZ city","180, 35, 39",2023-12-28 09:01:40.293311,"127, 1572",-0.53,108,"Gun, Dark Blue","Punching, 10 seconds",Message,French,Yes,8
Why don't you go away?,Offensive gesture,Harassment video,"14, Female, XYZ city","89, 21, 26",2024-02-07 09:01:40.293316,"224, 1536",-0.84,107,"Gun, Dark Blue","Threatening, 8 seconds",Post,German,No,7
Why don't you go away?,Insulting meme,Bullying act,"15, Male, XYZ city","61, 54, 10",2023-08-04 09:01:40.293320,"135, 600",-0.67,136,"Gun, Black","Verbal Abuse, 10 seconds",Message,French,No,9
You are so dumb!,Insulting meme,Harassment video,"13, Male, XYZ city","104, 64, 24",2024-03-23 09:01:40.293325,"381, 1609",-0.67,177,"Knife, Red","Threatening, 11 seconds",Post,French,Yes,9
I hate you so much!,Violent image,Verbal abuse video,"16, Female, XYZ city","150, 81, 40",2023-10-05 09:01:40.293329,"103, 1746",-0.87,89,"Gun, Black","Threatening, 6 seconds",Post,French,No,6
I hate you so much!,Offensive gesture,Harassment video,"13, Non-binary, XYZ city","72, 43, 47",2023-12-26 09:01:40.293334,"437, 665",-0.67,47,"Knife, Dark Blue","Kicking, 13 seconds",Comment,English,Yes,7
You are so dumb!,Offensive gesture,Intimidation video,"15, Male, XYZ city","77, 40, 27",2024-03-31 09:01:40.293338,"482, 1899",-0.89,86,"Gun, Red","Kicking, 3 seconds",Message,English,Yes,2
You are so dumb!,Insulting meme,Harassment video,"13, Male, XYZ city","148, 64, 18",2024-01-23 09:01:40.293343,"377, 530",-0.94,135,"Knife, Green","Threatening, 10 seconds",Comment,French,No,9
I hate you so much!,Cyberbullying cartoon,Bullying act,"16, Male, XYZ city","171, 49, 43",2024-04-03 09:01:40.293347,"474, 510",-0.65,96,"Gun, Dark Blue","Punching, 5 seconds",Comment,English,Yes,1
I hate you so much!,Insulting meme,Harassment video,"14, Female, XYZ city","81, 86, 12",2023-09-24 09:01:40.293351,"401, 595",-0.94,63,"Pointing Finger, Red","Punching, 11 seconds",Message,Spanish,Yes,1
You are a loser!,Offensive gesture,Intimidation video,"16, Male, XYZ city","128, 60, 32",2023-07-08 09:01:40.293356,"289, 952",-0.5,159,"Knife, Green","Kicking, 11 seconds",Comment,French,Yes,3
You are a loser!,Violent image,Intimidation video,"14, Male, XYZ city","153, 94, 41",2023-08-09 09:01:40.293361,"291, 985",-0.91,25,"Knife, Red","Punching, 6 seconds",Message,Spanish,Yes,6
You are so dumb!,Insulting meme,Verbal abuse video,"13, Male, XYZ city","106, 52, 33",2023-10-11 09:01:40.293365,"365, 1947",-0.7,37,"Gun, Red","Kicking, 6 seconds",Comment,German,Yes,5
You are a loser!,Offensive gesture,Harassment video,"17, Female, XYZ city","83, 75, 37",2024-06-09 09:01:40.293370,"227, 737",-0.79,172,"Knife, Black","Threatening, 13 seconds",Message,Spanish,Yes,2
Why don't you go away?,Insulting meme,Intimidation video,"13, Male, XYZ city","56, 87, 46",2023-07-11 09:01:40.293374,"454, 1635",-0.94,197,"Pointing Finger, Green","Verbal Abuse, 12 seconds",Message,German,Yes,9
You are a loser!,Cyberbullying cartoon,Bullying act,"16, Female, XYZ city","105, 84, 10",2024-04-10 09:01:40.293378,"415, 1969",-0.99,182,"Middle Finger, Dark Blue","Kicking, 13 seconds",Message,French,No,4
You are a loser!,Insulting meme,Verbal abuse video,"14, Female, XYZ city","96, 39, 28",2024-04-24 09:01:40.293383,"442, 1668",-0.69,55,"Pointing Finger, Dark Blue","Verbal Abuse, 5 seconds",Post,German,No,4
Why don't you go away?,Insulting meme,Bullying act,"14, Female, XYZ city","195, 54, 40",2024-03-28 09:01:40.293387,"164, 1770",-0.6,81,"Middle Finger, Black","Verbal Abuse, 14 seconds",Comment,German,Yes,5
You are so dumb!,Offensive gesture,Harassment video,"14, Female, XYZ city","175, 30, 47",2023-12-20 09:01:40.293392,"322, 1490",-0.58,192,"Pointing Finger, Red","Kicking, 14 seconds",Post,Spanish,No,8
Why don't you go away?,Offensive gesture,Harassment video,"14, Female, XYZ city","113, 88, 17",2024-02-24 09:01:40.293400,"412, 1962",-0.76,94,"Knife, Black","Threatening, 7 seconds",Comment,Spanish,Yes,4
You are a loser!,Offensive gesture,Harassment video,"16, Male, XYZ city","165, 75, 21",2023-12-12 09:01:40.293408,"205, 680",-0.61,35,"Middle Finger, Black","Threatening, 9 seconds",Comment,Spanish,Yes,5
You are so dumb!,Insulting meme,Verbal abuse video,"15, Male, XYZ city","114, 50, 13",2023-12-03 09:01:40.293416,"283, 725",-0.66,94,"Pointing Finger, Red","Verbal Abuse, 11 seconds",Comment,French,Yes,4
You are a loser!,Cyberbullying cartoon,Intimidation video,"15, Non-binary, XYZ city","162, 69, 14",2024-04-08 09:01:40.293425,"364, 1289",-0.64,162,"Middle Finger, Black","Punching, 7 seconds",Post,French,Yes,6
Why don't you go away?,Violent image,Verbal abuse video,"13, Female, XYZ city","169, 78, 12",2023-07-11 09:01:40.293433,"496, 1612",-0.75,74,"Gun, Dark Blue","Punching, 14 seconds",Comment,Spanish,No,3
